code,name,descr
US,United States,Country in North America
DE,Germany,Country in Central Europe
FR,France,Country in Western Europe
IN,India,Country in South Asia
JP,Japan,Country in East Asia
CN,China,Country in East Asia
BR,Brazil,Country in South America
GB,United Kingdom,Country in Northern Europe
CA,Canada,Country in North America
AU,Australia,Country in Oceania
ZA,South Africa,Country in Southern Africa
IT,Italy,Country in Southern Europe
ES,Spain,Country in Southwestern Europe
RU,Russia,Country spanning Eastern Europe and Northern Asia
MX,Mexico,Country in North America
